时间,分钟能见度m,降水天气现象 ,气温℃,湿度%RH,瞬时风速m/s,瞬时风向°,分钟内极大风速m/s,分钟内极大风向°,2 min平均风速m/s,2 min平均风向°,10 min平均风速m/s,10 min平均风向°,气压hPa,路面温度℃,路面状况 ,水膜厚度mm,冰层厚度mm,雪层厚度mm,湿滑系数 
2020-06-01 00:29:00,20000,0,16.8,81,1.6,191,1.6,191,1.5,191,1.9,193,795.7,20.6,3,0,0,0,0.81
2020-06-01 00:30:00,20000,0,16.7,81,1.7,183,1.7,183,1.5,180,1.9,191,795.7,20.6,3,0,0,0,0.81
2020-06-01 00:31:00,20000,0,16.8,81,1.5,186,1.5,186,1.6,184,1.8,187,795.7,20.5,3,0,0,0,0.81
2020-06-01 00:32:00,20000,0,16.8,81,1.5,188,1.5,188,1.5,182,1.8,187,795.7,20.5,3,0,0,0,0.81
2020-06-01 00:33:00,17133,0,16.8,82,0.9,198,0.9,198,1.4,185,1.8,187,795.7,20.4,3,0,0,0,0.81
2020-06-01 00:34:00,18036,0,16.8,82,1.9,202,1.9,202,1.2,190,1.7,188,795.6,20.4,3,0,0,0,0.81
2020-06-01 00:35:00,17557,0,16.8,82,1.7,171,1.7,171,1.4,196,1.6,190,795.6,20.3,3,0,0,0,0.81
2020-06-01 00:36:00,16991,0,16.8,82,1.2,201,1.2,201,1.7,185,1.5,189,795.7,20.2,3,0,0,0,0.81
2020-06-01 00:37:00,16110,0,16.7,82,1.3,249,1.3,249,1.4,188,1.5,189,795.7,20.2,3,0,0,0,0.81
2020-06-01 00:38:00,15908,0,16.7,82,1.4,224,1.4,224,1.2,223,1.4,191,795.7,20.2,3,0,0,0,0.81
2020-06-01 00:39:00,17257,0,16.7,82,1.6,223,1.6,223,1.3,231,1.4,196,795.7,20.3,3,0,0,0,0.81
2020-06-01 00:40:00,18909,0,16.7,82,1.6,199,1.6,199,1.5,218,1.4,199,795.7,20.4,3,0,0,0,0.81
2020-06-01 00:41:00,20000,0,16.7,82,1.4,220,1.4,220,1.5,207,1.4,201,795.8,20.4,3,0,0,0,0.81
2020-06-01 00:42:00,20000,0,16.6,82,1.5,169,1.5,169,1.4,206,1.4,204,795.8,20.4,3,0,0,0,0.81
2020-06-01 00:43:00,20000,0,16.6,82,1.4,187,1.4,187,1.4,190,1.4,202,795.8,20.5,3,0,0,0,0.81
2020-06-01 00:44:00,20000,0,16.6,82,1.1,201,1.1,201,1.4,176,1.4,201,795.8,20.5,3,0,0,0,0.81
2020-06-01 00:45:00,20000,0,16.7,82,1.2,232,1.2,232,1.2,194,1.4,202,795.8,20.4,3,0,0,0,0.81
2020-06-01 00:46:00,20000,0,16.6,82,0.8,236,0.8,236,1.1,216,1.3,208,795.8,20.5,3,0,0,0,0.81
2020-06-01 00:47:00,20000,0,16.6,82,0.8,238,0.8,238,0.9,232,1.3,211,795.8,20.6,3,0,0,0,0.81
2020-06-01 00:48:00,20000,0,16.6,82,0.7,248,0.7,248,0.7,235,1.2,211,795.8,20.6,3,0,0,0,0.81
2020-06-01 00:49:00,20000,0,16.6,82,0.2,182,0.2,182,0.7,237,1.1,213,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:50:00,20000,0,16.7,82,0.7,231,0.7,231,0.4,211,1,209,795.8,20.8,3,0,0,0,0.81
2020-06-01 00:51:00,20000,0,16.7,82,0.7,235,0.7,235,0.4,208,0.9,213,795.8,21,3,0,0,0,0.81
2020-06-01 00:52:00,20000,0,16.7,82,0.7,274,0.7,274,0.7,234,0.9,215,795.8,21,3,0,0,0,0.81
2020-06-01 00:53:00,20000,0,16.7,82,1.1,290,1.1,290,0.7,255,0.8,225,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:54:00,20000,0,16.7,81,0.8,276,0.8,276,0.9,280,0.7,235,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:55:00,20000,0,16.7,82,0.9,314,0.9,314,0.9,283,0.7,243,795.8,20.7,3,0,0,0,0.81
2020-06-01 00:56:00,20000,0,16.7,82,0.9,314,0.9,314,0.8,294,0.7,251,795.7,20.7,3,0,0,0,0.81
2020-06-01 00:57:00,20000,0,16.8,82,0.9,301,0.9,301,0.9,309,0.7,259,795.7,20.6,3,0,0,0,0.81
2020-06-01 00:58:00,20000,0,16.8,82,1.1,311,1.1,311,0.9,304,0.7,267,795.7,20.7,3,0,0,0,0.81
2020-06-01 00:59:00,20000,0,16.8,82,0.7,310,0.7,310,0.9,305,0.8,275,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:00:00,20000,0,16.8,82,0.5,4,0.5,4,0.8,311,0.8,286,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:01:00,20000,0,16.8,82,0.9,309,0.9,309,0.6,334,0.8,297,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:02:00,20000,0,16.8,82,1,313,1,313,0.7,329,0.8,303,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:03:00,20000,0,16.9,82,1.4,177,1.4,177,0.9,305,0.8,307,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:04:00,20000,0,16.9,82,1.2,182,1.2,182,1.2,229,0.9,303,795.7,20.8,3,0,0,0,0.81
2020-06-01 01:05:00,20000,0,16.9,82,0.5,192,0.5,192,1.2,178,0.9,299,795.7,20.8,3,0,0,0,0.81
2020-06-01 01:06:00,20000,0,16.9,82,0.6,310,0.6,310,0.8,187,0.9,288,795.7,20.8,3,0,0,0,0.81
2020-06-01 01:07:00,20000,0,16.9,82,0.1,28,0.1,28,0.5,260,0.8,289,795.7,20.7,3,0,0,0,0.81
2020-06-01 01:08:00,20000,0,16.9,81,0.5,6,0.5,6,0.3,350,0.7,300,795.7,20.9,3,0,0,0,0.81
2020-06-01 01:09:00,20000,0,17,81,0.5,6,0.5,6,0.3,14,0.7,313,795.8,20.9,3,0,0,0,0.81
2020-06-01 01:10:00,20000,0,16.9,81,0.6,2,0.6,2,0.5,4,0.7,326,795.8,20.8,3,0,0,0,0.81
2020-06-01 01:11:00,20000,0,16.9,81,0.5,38,0.5,38,0.5,3,0.7,328,795.7,20.5,3,0,0,0,0.81
2020-06-01 01:12:00,20000,0,16.8,81,0.6,28,0.6,28,0.5,18,0.6,353,795.7,20.4,3,0,0,0,0.81
2020-06-01 01:13:00,20000,0,16.8,81,0.1,4,0.1,4,0.5,28,0.6,11,795.7,20.4,3,0,0,0,0.81
2020-06-01 01:14:00,20000,0,16.8,81,0.7,185,0.7,185,0.3,12,0.5,6,795.7,20.3,3,0,0,0,0.81
2020-06-01 01:15:00,20000,0,16.8,81,0.3,256,0.3,256,0.4,235,0.4,5,795.7,20.3,1,0,0,0,0.82
2020-06-01 01:16:00,20000,0,16.8,81,0.3,0,0.3,0,0.4,224,0.4,358,795.7,20.2,1,0,0,0,0.82
2020-06-01 01:17:00,20000,0,16.8,81,0.4,332,0.4,332,0.3,313,0.4,4,795.6,20.2,1,0,0,0,0.82
2020-06-01 01:18:00,20000,0,16.8,81,0.5,317,0.5,317,0.3,342,0.4,355,795.6,20.3,1,0,0,0,0.82
2020-06-01 01:20:00,20000,0,16.8,81,0.2,324,0.2,324,0.3,327,0.4,344,795.5,20.4,1,0,0,0,0.82
2020-06-01 01:21:00,20000,0,16.8,81,0.8,350,0.8,350,0.2,330,0.3,338,795.5,20.5,1,0,0,0,0.82
2020-06-01 01:22:00,20000,0,16.8,81,0.8,335,0.8,335,0.5,335,0.4,332,795.5,20.4,1,0,0,0,0.82
2020-06-01 01:23:00,20000,0,16.8,81,0.6,318,0.6,318,0.7,340,0.4,326,795.5,20.3,1,0,0,0,0.82
2020-06-01 01:24:00,20000,0,16.8,81,0.5,341,0.5,341,0.6,325,0.4,321,795.5,20.4,1,0,0,0,0.82
2020-06-01 01:25:00,20000,0,16.8,81,0.4,354,0.4,354,0.5,329,0.4,328,795.6,20.5,1,0,0,0,0.82
2020-06-01 01:26:00,20000,0,16.8,81,0.3,315,0.3,315,0.4,343,0.4,335,795.6,20.5,1,0,0,0,0.82
2020-06-01 01:27:00,20000,0,16.8,81,1.8,185,1.8,185,0.4,329,0.4,330,795.6,20.6,1,0,0,0,0.82
2020-06-01 01:28:00,20000,0,16.8,81,0,125,0,125,1,237,0.6,327,795.5,20.6,1,0,0,0,0.82
2020-06-01 01:29:00,20000,0,16.9,81,0,226,0,226,0.8,156,0.5,331,795.5,20.6,1,0,0,0,0.82
2020-06-01 01:30:00,20000,0,16.9,81,1.1,174,1.1,174,0,178,0.5,319,795.5,20.5,1,0,0,0,0.82
2020-06-01 01:31:00,20000,0,16.9,81,1.2,174,1.2,174,0.6,194,0.6,307,795.5,20.5,1,0,0,0,0.82
2020-06-01 01:32:00,20000,0,16.9,81,0.3,223,0.3,223,1.1,172,0.6,265,795.4,20.5,1,0,0,0,0.82
2020-06-01 01:33:00,20000,0,16.9,80,0.2,312,0.2,312,0.7,199,0.6,232,795.4,20.5,1,0,0,0,0.82
2020-06-01 01:34:00,20000,0,17,80,1.4,175,1.4,175,0.3,263,0.5,229,795.4,20.5,1,0,0,0,0.82
2020-06-01 01:35:00,20000,0,17,80,0.6,173,0.6,173,0.8,228,0.6,204,795.4,20.6,1,0,0,0,0.82
2020-06-01 01:36:00,20000,0,17,80,0.6,282,0.6,282,0.9,175,0.6,195,795.4,20.6,1,0,0,0,0.82
2020-06-01 01:37:00,20000,0,17,80,0.8,286,0.8,286,0.6,233,0.7,197,795.4,20.5,1,0,0,0,0.82
2020-06-01 01:38:00,20000,0,17,80,1,293,1,293,0.7,282,0.6,210,795.4,20.4,1,0,0,0,0.82
2020-06-01 01:39:00,20000,0,17,80,1.2,287,1.2,287,0.9,287,0.7,228,795.4,20,1,0,0,0,0.82
2020-06-01 01:40:00,20000,0,17,80,1.6,305,1.6,305,1.1,288,0.8,238,795.4,19.9,1,0,0,0,0.82
2020-06-01 01:41:00,20000,0,16.9,80,1.4,257,1.4,257,1.4,293,0.8,256,795.4,19.9,1,0,0,0,0.82
2020-06-01 01:42:00,20000,0,16.8,80,1.4,295,1.4,295,1.4,279,0.9,264,795.3,20,1,0,0,0,0.82
2020-06-01 01:43:00,20000,0,16.8,80,1.4,232,1.4,232,1.4,273,1,272,795.3,19.8,1,0,0,0,0.82
2020-06-01 01:44:00,20000,0,16.8,81,1.3,205,1.3,205,1.3,257,1.1,263,795.3,19.8,1,0,0,0,0.82
2020-06-01 01:45:00,20000,0,16.8,81,1.2,294,1.2,294,1.3,219,1.1,265,795.3,19.9,1,0,0,0,0.82
2020-06-01 01:46:00,20000,0,16.7,81,1.3,297,1.3,297,1.2,253,1.1,273,795.3,19.9,1,0,0,0,0.82
2020-06-01 01:47:00,20000,0,16.7,81,1.7,297,1.7,297,1.2,292,1.2,275,795.3,19.9,1,0,0,0,0.82
2020-06-01 01:48:00,20000,0,16.7,80,1.4,183,1.4,183,1.5,292,1.3,275,795.2,19.9,1,0,0,0,0.82
2020-06-01 01:49:00,20000,0,16.6,81,1.4,186,1.4,186,1.5,228,1.3,266,795.2,19.8,1,0,0,0,0.82
2020-06-01 01:50:00,20000,0,16.6,80,1,269,1,269,1.3,185,1.4,255,795.2,19.7,1,0,0,0,0.82
2020-06-01 01:51:00,20000,0,16.6,80,1,278,1,278,1.1,230,1.3,251,795.2,19.8,1,0,0,0,0.82
2020-06-01 01:52:00,20000,0,16.6,80,1.1,283,1.1,283,1,270,1.3,254,795.2,19.8,1,0,0,0,0.82
2020-06-01 01:53:00,20000,0,16.6,80,1.3,236,1.3,236,1,275,1.2,252,795.2,19.8,1,0,0,0,0.82
2020-06-01 01:54:00,20000,0,16.6,81,1.4,287,1.4,287,1.2,257,1.2,254,795.2,19.7,1,0,0,0,0.82
2020-06-01 01:55:00,20000,0,16.6,81,1.5,295,1.5,295,1.3,263,1.2,262,795.2,19.7,1,0,0,0,0.82
2020-06-01 01:56:00,20000,0,16.6,81,1.2,281,1.2,281,1.4,289,1.3,263,795.2,19.7,1,0,0,0,0.82
2020-06-01 01:57:00,20000,0,16.6,81,1,278,1,278,1.3,286,1.2,261,795.2,19.7,1,0,0,0,0.82
2020-06-01 01:58:00,20000,0,16.6,81,1,292,1,292,1,277,1.2,260,795.2,19.8,1,0,0,0,0.82
2020-06-01 01:59:00,20000,0,16.6,81,0.8,300,0.8,300,0.9,283,1.1,270,795.2,19.8,1,0,0,0,0.82
2020-06-01 02:00:00,20000,0,16.6,81,0.8,14,0.8,14,0.7,330,0.9,296,795.1,20.1,1,0,0,0,0.82
2020-06-01 02:01:00,20000,0,16.7,81,1,358,1,358,0.8,9,0.9,304,795.1,19.8,1,0,0,0,0.82
2020-06-01 02:02:00,20000,0,16.6,81,1,4,1,4,0.9,1,0.8,311,795.1,19.7,1,0,0,0,0.82
2020-06-01 02:03:00,20000,0,16.6,81,1.1,5,1.1,5,1,358,0.8,320,795,19.6,1,0,0,0,0.82
2020-06-01 02:04:00,20000,0,16.6,81,1.2,352,1.2,352,1,2,0.8,330,795,19.4,1,0,0,0,0.82
2020-06-01 02:05:00,20000,0,16.5,80,1.3,353,1.3,353,1.1,356,0.8,336,795,19.4,1,0,0,0,0.82
2020-06-01 02:06:00,20000,0,16.4,80,1.3,358,1.3,358,1.2,350,0.9,342,795,19.5,1,0,0,0,0.82
2020-06-01 02:07:00,20000,0,16.3,80,1,350,1,350,1.2,352,0.9,347,795,19.5,1,0,0,0,0.82
2020-06-01 02:08:00,20000,0,16.3,80,1,335,1,335,1.1,351,1,352,795.1,19.6,1,0,0,0,0.82
2020-06-01 02:09:00,20000,0,16.3,80,0.9,358,0.9,358,0.9,342,1,355,795.1,19.6,1,0,0,0,0.82
2020-06-01 02:10:00,20000,0,16.3,80,1.1,359,1.1,359,0.9,346,1,354,795,19.8,1,0,0,0,0.82
2020-06-01 02:11:00,20000,0,16.3,80,1,320,1,320,1,352,1,352,795,19.9,1,0,0,0,0.82
2020-06-01 02:12:00,20000,0,16.3,80,0.7,302,0.7,302,1,334,1,349,795,20,1,0,0,0,0.82
2020-06-01 02:13:00,20000,0,16.4,81,0.9,10,0.9,10,0.8,312,1,344,795,20,1,0,0,0,0.82
2020-06-01 02:14:00,20000,0,16.4,81,0.5,2,0.5,2,0.7,338,1,344,795,19.9,1,0,0,0,0.82
2020-06-01 02:15:00,20000,0,16.4,81,0.4,265,0.4,265,0.6,1,0.9,344,795,19.7,1,0,0,0,0.82
2020-06-01 02:16:00,20000,0,16.5,80,0.5,300,0.5,300,0.4,307,0.8,337,795,20.1,1,0,0,0,0.82
2020-06-01 02:17:00,20000,0,16.5,80,0.8,358,0.8,358,0.4,286,0.7,332,795,19.9,1,0,0,0,0.82
2020-06-01 02:18:00,20000,0,16.5,80,0.8,2,0.8,2,0.6,331,0.7,333,795,19.9,1,0,0,0,0.82
2020-06-01 02:19:00,20000,0,16.5,80,0.8,18,0.8,18,0.8,358,0.7,335,795,19.8,1,0,0,0,0.82
2020-06-01 02:20:00,20000,0,16.4,80,0.9,16,0.9,16,0.8,8,0.7,337,795,19.6,1,0,0,0,0.82
2020-06-01 02:21:00,20000,0,16.4,80,0.8,0,0.8,0,0.8,14,0.7,340,795,19.4,1,0,0,0,0.82
2020-06-01 02:22:00,20000,0,16.4,80,0.6,358,0.6,358,0.8,6,0.7,345,795,19.4,1,0,0,0,0.82
2020-06-01 02:23:00,20000,0,16.4,80,0.6,1,0.6,1,0.6,357,0.6,350,795,19.3,1,0,0,0,0.82
2020-06-01 02:24:00,20000,0,16.3,80,0.7,356,0.7,356,0.6,357,0.6,349,795,19.3,1,0,0,0,0.82
2020-06-01 02:25:00,20000,0,16.3,80,0.8,7,0.8,7,0.6,357,0.6,349,794.9,19.3,1,0,0,0,0.82
2020-06-01 02:26:00,20000,0,16.3,80,0.8,4,0.8,4,0.7,0,0.7,357,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:27:00,20000,0,16.3,80,1.1,0,1.1,0,0.8,2,0.7,2,794.9,19.3,1,0,0,0,0.82
2020-06-01 02:28:00,20000,0,16.2,79,1.1,0,1.1,0,0.9,0,0.7,2,794.9,19.3,1,0,0,0,0.82
2020-06-01 02:29:00,20000,0,16.2,79,1.1,0,1.1,0,1.1,0,0.8,2,794.9,19.3,1,0,0,0,0.82
2020-06-01 02:30:00,20000,0,16.2,79,1.3,0,1.3,0,1.1,0,0.8,0,794.8,19.3,1,0,0,0,0.82
2020-06-01 02:31:00,20000,0,16.2,79,1,0,1,0,1.1,0,0.8,359,794.8,19.4,1,0,0,0,0.82
2020-06-01 02:32:00,20000,0,16.2,79,1.1,10,1.1,10,1.1,0,0.9,359,794.8,19.3,1,0,0,0,0.82
2020-06-01 02:33:00,20000,0,16.2,79,0.8,0,0.8,0,1,4,0.9,0,794.8,19.3,1,0,0,0,0.82
2020-06-01 02:34:00,20000,0,16.1,79,0.8,7,0.8,7,0.9,4,0.9,1,794.8,19.3,1,0,0,0,0.82
2020-06-01 02:35:00,20000,0,16.2,79,0.6,10,0.6,10,0.7,3,0.9,2,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:36:00,20000,0,16.2,79,0.8,0,0.8,0,0.7,7,0.9,2,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:37:00,20000,0,16.1,79,0.8,1,0.8,1,0.7,4,0.9,2,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:38:00,20000,0,16.2,79,0.6,0,0.6,0,0.7,0,0.9,2,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:39:00,20000,0,16.1,79,0.6,0,0.6,0,0.6,0,0.8,2,794.9,19.2,1,0,0,0,0.82
2020-06-01 02:40:00,20000,0,16.1,79,0.6,343,0.6,343,0.6,358,0.8,2,794.9,19.4,1,0,0,0,0.82
2020-06-01 02:41:00,20000,0,16.2,79,0.8,344,0.8,344,0.6,348,0.7,0,794.9,19.4,1,0,0,0,0.82
2020-06-01 02:42:00,20000,0,16.2,79,0.8,340,0.8,340,0.7,340,0.7,358,794.9,19.5,1,0,0,0,0.82
2020-06-01 02:43:00,20000,0,16.2,79,1.2,215,1.2,215,0.8,337,0.7,355,794.8,19.7,1,0,0,0,0.82
2020-06-01 02:44:00,20000,0,16.2,79,0.8,346,0.8,346,1,277,0.7,350,794.8,19.4,1,0,0,0,0.82
2020-06-01 02:45:00,20000,0,16.2,79,0.8,351,0.8,351,0.9,294,0.7,347,794.8,19.4,1,0,0,0,0.82
2020-06-01 02:46:00,20000,0,16.2,79,0.8,349,0.8,349,0.8,347,0.7,345,794.7,19.5,1,0,0,0,0.82
2020-06-01 02:47:00,20000,0,16.2,79,0.8,355,0.8,355,0.8,347,0.7,343,794.7,19.5,1,0,0,0,0.82
2020-06-01 02:48:00,20000,0,16.2,79,0.8,358,0.8,358,0.8,350,0.7,343,794.8,19.5,1,0,0,0,0.82
2020-06-01 02:49:00,20000,0,16.2,79,0.8,359,0.8,359,0.8,354,0.8,342,794.8,19.6,1,0,0,0,0.82
2020-06-01 02:50:00,20000,0,16.3,79,0.4,357,0.4,357,0.7,354,0.8,342,794.8,19.6,1,0,0,0,0.82
2020-06-01 02:51:00,20000,0,16.3,79,0.4,347,0.4,347,0.5,354,0.7,343,794.8,19.6,1,0,0,0,0.82
2020-06-01 02:52:00,20000,0,16.3,80,0.3,0,0.3,0,0.3,350,0.7,344,794.8,19.5,1,0,0,0,0.82
2020-06-01 02:53:00,20000,0,16.3,79,0.3,0,0.3,0,0.3,353,0.6,347,794.7,19.4,1,0,0,0,0.82
2020-06-01 02:54:00,20000,0,16.3,80,1.6,196,1.6,196,0.3,359,0.6,352,794.7,19.4,1,0,0,0,0.82
2020-06-01 02:55:00,20000,0,16.3,80,0.1,0,0.1,0,0.9,278,0.6,350,794.7,19.4,1,0,0,0,0.82
2020-06-01 02:56:00,20000,0,16.3,80,0.2,0,0.2,0,0.7,319,0.6,352,794.7,19.4,1,0,0,0,0.82
2020-06-01 02:57:00,20000,0,16.3,80,0.2,350,0.2,350,0.1,359,0.5,353,794.7,19.5,1,0,0,0,0.82
2020-06-01 02:58:00,20000,0,16.4,80,0.4,351,0.4,351,0.2,354,0.5,353,794.7,19.6,1,0,0,0,0.82
2020-06-01 02:59:00,20000,0,16.4,80,0.5,346,0.5,346,0.3,349,0.4,352,794.7,19.8,1,0,0,0,0.82
2020-06-01 03:00:00,20000,0,16.4,80,0.6,358,0.6,358,0.4,347,0.4,351,794.7,19.8,1,0,0,0,0.82
2020-06-01 03:01:00,20000,0,16.4,79,0.6,3,0.6,3,0.5,350,0.4,351,794.7,19.8,1,0,0,0,0.82
2020-06-01 03:02:00,20000,0,16.4,80,1.4,191,1.4,191,0.6,356,0.4,352,794.7,19.8,1,0,0,0,0.82
2020-06-01 03:03:00,20000,0,16.4,80,0.7,1,0.7,1,1,276,0.5,349,794.7,19.8,1,0,0,0,0.82
2020-06-01 03:04:00,20000,0,16.5,80,0.6,19,0.6,19,1,334,0.6,350,794.7,19.5,1,0,0,0,0.82
2020-06-01 03:05:00,20000,0,16.5,80,0.6,0,0.6,0,0.6,7,0.5,355,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:06:00,20000,0,16.5,80,1,7,1,7,0.6,6,0.5,355,794.7,19.5,1,0,0,0,0.82
2020-06-01 03:07:00,20000,0,16.5,80,0.8,37,0.8,37,0.8,4,0.6,356,794.7,19.5,1,0,0,0,0.82
2020-06-01 03:08:00,20000,0,16.5,80,1.1,20,1.1,20,0.9,20,0.7,2,794.7,19.5,1,0,0,0,0.82
2020-06-01 03:09:00,20000,0,16.4,80,1,34,1,34,0.9,27,0.7,6,794.7,19.5,1,0,0,0,0.82
2020-06-01 03:10:00,20000,0,16.4,80,0.9,45,0.9,45,1,26,0.8,11,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:11:00,20000,0,16.4,80,1.3,38,1.3,38,0.9,37,0.8,17,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:12:00,20000,0,16.4,80,1.5,45,1.5,45,1.1,39,0.9,22,794.7,19.2,1,0,0,0,0.82
2020-06-01 03:13:00,20000,0,16.3,80,1,55,1,55,1.3,41,0.9,23,794.7,19.2,1,0,0,0,0.82
2020-06-01 03:14:00,20000,0,16.3,81,0.9,49,0.9,49,1.2,50,0.9,28,794.7,19.3,1,0,0,0,0.82
2020-06-01 03:15:00,20000,0,16.3,81,0.9,53,0.9,53,0.9,49,1,32,794.7,19.3,1,0,0,0,0.82
2020-06-01 03:16:00,20000,0,16.3,81,0.7,60,0.7,60,0.8,48,1,37,794.7,19.3,1,0,0,0,0.82
2020-06-01 03:17:00,20000,0,16.3,80,0.7,30,0.7,30,0.7,54,1,41,794.8,19.3,1,0,0,0,0.82
2020-06-01 03:18:00,20000,0,16.3,80,0.8,46,0.8,46,0.7,44,0.9,41,794.7,19.3,1,0,0,0,0.82
2020-06-01 03:19:00,20000,0,16.3,81,0.6,14,0.6,14,0.7,36,0.9,43,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:20:00,20000,0,16.3,80,0.8,38,0.8,38,0.7,26,0.9,42,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:21:00,20000,0,16.3,80,1,49,1,49,0.7,24,0.9,41,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:22:00,20000,0,16.3,80,1.1,43,1.1,43,0.9,40,0.8,42,794.7,19.4,1,0,0,0,0.82
2020-06-01 03:23:00,20000,0,16.3,80,1.2,45,1.2,45,1,42,0.8,41,794.7,19.3,1,0,0,0,0.82
2020-06-01 03:24:00,20000,0,16.3,80,1.1,45,1.1,45,1.1,42,0.8,40,794.7,19.2,1,0,0,0,0.82
